"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"08/02/2022","AQS","490450004","1","5.4","ug/m3 LC","23","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"08/03/2022","AQS","490450004","1","8.7","ug/m3 LC","36","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"08/04/2022","AQS","490450004","1","8.2","ug/m3 LC","34","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"08/05/2022","AQS","490450004","1","5.8","ug/m3 LC","24","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"08/06/2022","AQS","490450004","1","4.3","ug/m3 LC","18","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"08/07/2022","AQS","490450004","1","4.3","ug/m3 LC","18","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"08/08/2022","AQS","490450004","1","4.7","ug/m3 LC","20","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"08/09/2022","AQS","490450004","1","5.1","ug/m3 LC","21","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"08/10/2022","AQS","490450004","1","4.7","ug/m3 LC","20","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"08/11/2022","AQS","490450004","1","3.3","ug/m3 LC","14","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"08/12/2022","AQS","490450004","1","3.5","ug/m3 LC","15","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"08/13/2022","AQS","490450004","1","2.7","ug/m3 LC","11","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"08/14/2022","AQS","490450004","1","2.1","ug/m3 LC","9","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"08/15/2022","AQS","490450004","1","4.3","ug/m3 LC","18","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"08/16/2022","AQS","490450004","1","4.1","ug/m3 LC","17","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"08/17/2022","AQS","490450004","1","3.9","ug/m3 LC","16","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"08/18/2022","AQS","490450004","1","5.3","ug/m3 LC","22","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"08/19/2022","AQS","490450004","1","3.7","ug/m3 LC","15","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"08/20/2022","AQS","490450004","1","3.2","ug/m3 LC","13","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"08/21/2022","AQS","490450004","1","3","ug/m3 LC","13","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"08/22/2022","AQS","490450004","1","3.7","ug/m3 LC","15","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"08/23/2022","AQS","490450004","1","5.1","ug/m3 LC","21","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"08/24/2022","AQS","490450004","1","5.1","ug/m3 LC","21","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"08/25/2022","AQS","490450004","1","3.5","ug/m3 LC","15","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"08/26/2022","AQS","490450004","1","3.4","ug/m3 LC","14","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"08/27/2022","AQS","490450004","1","4.2","ug/m3 LC","18","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"08/28/2022","AQS","490450004","1","6.9","ug/m3 LC","29","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"08/29/2022","AQS","490450004","1","6.2","ug/m3 LC","26","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"08/30/2022","AQS","490450004","1","7","ug/m3 LC","29","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"08/31/2022","AQS","490450004","1","6.1","ug/m3 LC","25","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"09/01/2022","AQS","490450004","1","6.5","ug/m3 LC","27","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"09/02/2022","AQS","490450004","1","8.6","ug/m3 LC","36","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"09/03/2022","AQS","490450004","1","6.4","ug/m3 LC","27","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"09/04/2022","AQS","490450004","1","6.4","ug/m3 LC","27","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"09/05/2022","AQS","490450004","1","6.9","ug/m3 LC","29","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"09/06/2022","AQS","490450004","1","8.3","ug/m3 LC","35","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"09/07/2022","AQS","490450004","1","9","ug/m3 LC","38","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"09/08/2022","AQS","490450004","1","13.5","ug/m3 LC","54","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"09/09/2022","AQS","490450004","1","29.2","ug/m3 LC","87","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"09/10/2022","AQS","490450004","1","34.6","ug/m3 LC","98","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"09/11/2022","AQS","490450004","1","26.3","ug/m3 LC","81","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"09/12/2022","AQS","490450004","1","19.3","ug/m3 LC","66","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"09/13/2022","AQS","490450004","1","4.5","ug/m3 LC","19","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"09/14/2022","AQS","490450004","1","2.8","ug/m3 LC","12","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"09/15/2022","AQS","490450004","1","3.4","ug/m3 LC","14","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"09/16/2022","AQS","490450004","1","3","ug/m3 LC","13","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"09/17/2022","AQS","490450004","1","7","ug/m3 LC","29","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"09/18/2022","AQS","490450004","1","3.4","ug/m3 LC","14","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"09/19/2022","AQS","490450004","1","2.7","ug/m3 LC","11","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"09/20/2022","AQS","490450004","1","4","ug/m3 LC","17","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"09/22/2022","AQS","490450004","1","3.4","ug/m3 LC","14","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"09/23/2022","AQS","490450004","1","4","ug/m3 LC","17","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"09/24/2022","AQS","490450004","1","3.2","ug/m3 LC","13","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"09/28/2022","AQS","490450004","1","6.6","ug/m3 LC","28","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"09/29/2022","AQS","490450004","1","5.9","ug/m3 LC","25","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"09/30/2022","AQS","490450004","1","3.8","ug/m3 LC","16","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"10/01/2022","AQS","490450004","1","3.1","ug/m3 LC","13","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"10/02/2022","AQS","490450004","1","3.7","ug/m3 LC","15","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"10/03/2022","AQS","490450004","1","4.4","ug/m3 LC","18","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"10/04/2022","AQS","490450004","1","4.1","ug/m3 LC","17","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"10/05/2022","AQS","490450004","1","4.2","ug/m3 LC","18","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"10/06/2022","AQS","490450004","1","5.9","ug/m3 LC","25","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"10/07/2022","AQS","490450004","1","4.4","ug/m3 LC","18","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"10/08/2022","AQS","490450004","1","4.5","ug/m3 LC","19","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"10/09/2022","AQS","490450004","1","5.3","ug/m3 LC","22","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"10/10/2022","AQS","490450004","1","6.6","ug/m3 LC","28","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"10/11/2022","AQS","490450004","1","10.1","ug/m3 LC","42","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"10/12/2022","AQS","490450004","1","11.2","ug/m3 LC","47","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"10/13/2022","AQS","490450004","1","5.9","ug/m3 LC","25","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"10/14/2022","AQS","490450004","1","6.2","ug/m3 LC","26","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"10/15/2022","AQS","490450004","1","4.4","ug/m3 LC","18","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"10/16/2022","AQS","490450004","1","4.4","ug/m3 LC","18","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"10/17/2022","AQS","490450004","1","4.7","ug/m3 LC","20","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"10/18/2022","AQS","490450004","1","4.4","ug/m3 LC","18","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"10/19/2022","AQS","490450004","1","5.6","ug/m3 LC","23","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"10/20/2022","AQS","490450004","1","6.6","ug/m3 LC","28","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"10/21/2022","AQS","490450004","1","7.3","ug/m3 LC","30","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"10/23/2022","AQS","490450004","1","1.7","ug/m3 LC","7","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"10/24/2022","AQS","490450004","1","2.3","ug/m3 LC","10","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
"10/25/2022","AQS","490450004","1","1.7","ug/m3 LC","7","Erda","1","100.0000","88101","PM2.5 - Local Conditions","41620","Salt Lake City, UT","49","Utah","045","Tooele","40.6005316001733","-112.353414322914"
